ID_USER,ID_ASSESSMENT,ID_CLASS,YEAR,SEMESTER,ASSESSMENT_DATE_START,ASSESSMENT_TITLE,ASSESSMENT_TYPE,GRADE
2150,4887,525,2023,1,2023-07-26 16:00:00,Lab 0 – Primeiros passos com o Python ,1,1.875
2150,4883,525,2023,1,2023-07-31 16:00:00,Lab 1 - Variáveis e Estrutura Sequencial,1,0
2150,4893,525,2023,1,2023-07-31 18:15:00,Extras 1 - Variáveis e Estrutura Sequencial,1,0
4022,5023,528,2023,1,2023-09-12 19:30:00,Extra 4 – Repetição por Condição (while) ,1,1.11111
2549,3071,375,2021,1,2022-01-12 18:00:00,Lab 0 – Primeiros passos com o Python - 2020,1,10
2549,3094,375,2021,1,2022-01-26 18:20:00,Lab 1 - Variáveis e Estrutura Sequencial,2,0.869565
2549,3106,375,2021,1,2022-02-02 18:00:00,Lab 2 - Estrutura Condicional Composta,1,10
2549,3118,375,2021,1,2022-02-16 18:00:00,Lab 3 - Estrutura Condicional Encadeada,1,4.44444
7168,3604,408,2021,2,2022-07-27 16:00:00,TP 04: Estrutura de Repetição por Condição (2019),2,0
2549,3929,440,2022,1,2022-10-26 18:00:00,Lab 0 – Primeiros passos com o Python - 2020,1,10
4201,4012,445,2022,1,2022-12-01 18:00:00,TP 02:  Est. Condicional Simples e Composta ,2,10
2549,4059,440,2022,1,2022-12-12 20:00:00,Extra 3 - Condicionais Encadeados (if/elif),1,0
2549,4086,440,2022,1,2023-01-02 18:00:00,Lab 3 - Estrutura Condicional Encadeada,1,2
2549,4119,440,2022,1,2023-01-04 20:00:00,Lab 4 – Repetição por Condição (while),1,3.33333
2549,4379,486,2022,2,2023-03-20 21:10:00,Lab 0 - Primeiros passos com o Python,1,10
2549,4379,486,2022,2,2023-03-20 21:10:00,Lab 0 - Primeiros passos com o Python,1,10
2549,3983,440,2022,1,2022-11-21 18:00:00,TP 01: Variáveis e Estrutura Sequencial,2,0
2549,4408,486,2022,2,2023-03-22 21:30:00,Extras 1 - Variáveis e Estrutura Sequencial (2023),1,10
2549,4407,486,2022,2,2023-03-22 21:30:00,Lab 1 - Variáveis e Estrutura Sequencial,1,10
2549,4447,486,2022,2,2023-04-05 20:00:00,TP 01: Variáveis e Estrutura Sequencial,2,10
2549,4494,486,2022,2,2023-04-11 16:00:00,Extra 2 - Estrutura Condicional Composta,1,0
2549,4487,486,2022,2,2023-04-10 21:30:00,Lab 2 - Estrutura Condicional Composta,1,1.25
2549,3948,440,2022,1,2022-10-31 19:40:00,Lab 1 - Variáveis e Estrutura Sequencial,1,5.83333
2549,3993,440,2022,1,2022-11-23 17:30:00,Lab 2 - Estrutura Condicional Composta,1,0
2549,4567,486,2022,2,2023-04-24 21:30:00,Lab 3 - Estrutura Condicional Encadeada,1,2.66667
2549,4568,486,2022,2,2023-04-24 21:30:00,Extra 3 - Condicionais Encadeados (if/elif),1,2.5
2549,4921,524,2023,1,2023-08-09 18:10:00,TP1: Variáveis e Estrutura Sequencial,2,10
2549,5028,524,2023,1,2023-09-13 18:10:00,TP3: Est. Condicional Encadeada,2,10
2549,4964,524,2023,1,2023-08-21 18:30:00,Extra 2 - Estrutura Condicional Composta,1,0
2549,5028,524,2023,1,2023-09-13 18:10:00,TP3: Est. Condicional Encadeada,2,10
2549,5044,524,2023,1,2023-09-18 20:00:00,Lab 4 – Repetição por Condição (while),1,0
8638,4971,529,2023,1,2023-08-23 14:00:00,TP2: Est. Condicional Simples e Composta,2,7.5
2549,5153,524,2023,1,2023-10-23 18:10:00,TP 5: Vetores e Strings,2,0
2549,5119,524,2023,1,2023-10-09 00:00:00,Lab 5 - Vetores e Strings,1,8
2549,5119,524,2023,1,2023-10-09 00:00:00,Lab 5 - Vetores e Strings,1,8
2549,4886,524,2023,1,2023-08-01 11:00:00,Lab 1 - Variáveis e Estrutura Sequencial,1,10
2549,4973,524,2023,1,2023-08-23 18:10:00,TP2: Est. Condicional Simples e Composta,2,4.175
2549,4995,524,2023,1,2023-08-30 19:00:00,Lab 3 - Estrutura Condicional Encadeada,1,5
2549,4949,524,2023,1,2023-08-14 20:00:00,Lab 2 - Estrutura Condicional Composta,1,1.17647
2549,5156,524,2023,1,2023-10-26 00:00:00,Lab 6 - Repetição por Contagem (for),1,0
2549,4995,524,2023,1,2023-08-30 19:00:00,Lab 3 - Estrutura Condicional Encadeada,1,5
2549,4879,524,2023,1,2023-07-24 18:00:00,Lab 0 – Primeiros passos com o Python,1,10
5090,3515,409,2021,2,2022-07-05 16:00:00,TP 02:  Est. Condicional Simples e Composta ,2,10
2285,3536,409,2021,2,2022-07-07 17:45:00,Extra 3 - Condicionais Encadeados (if/elif),1,0
6481,3536,409,2021,2,2022-07-07 17:45:00,Extra 3 - Condicionais Encadeados (if/elif),1,0
4046,3536,409,2021,2,2022-07-07 17:45:00,Extra 3 - Condicionais Encadeados (if/elif),1,0
6479,3536,409,2021,2,2022-07-07 17:45:00,Extra 3 - Condicionais Encadeados (if/elif),1,0
3384,3799,405,2021,2,2022-08-31 20:00:00,Lab 7 - Matrizes,1,10
7154,3799,405,2021,2,2022-08-31 20:00:00,Lab 7 - Matrizes,1,10
7690,3949,440,2022,1,2022-10-31 19:40:00,Extras 1 - Variáveis e Estrutura Sequencial (2022),1,10
7692,4219,440,2022,1,2023-02-01 20:00:00,Lab 6 - Repetição por Contagem (for),1,10
2846,4379,486,2022,2,2023-03-20 21:10:00,Lab 0 - Primeiros passos com o Python,1,10
2846,4408,486,2022,2,2023-03-22 21:30:00,Extras 1 - Variáveis e Estrutura Sequencial (2023),1,6.36364
2846,4407,486,2022,2,2023-03-22 21:30:00,Lab 1 - Variáveis e Estrutura Sequencial,1,10
8160,4527,485,2022,2,2023-04-17 10:00:00,Simulado 2 - Estrutura Condicional Composta,1,10
2846,4494,486,2022,2,2023-04-11 16:00:00,Extra 2 - Estrutura Condicional Composta,1,2.5
2846,4536,486,2022,2,2023-04-19 20:00:00,TP 02:  Est. Condicional Simples e Composta ,2,10
2846,4487,486,2022,2,2023-04-10 21:30:00,Lab 2 - Estrutura Condicional Composta,1,10
2846,4568,486,2022,2,2023-04-24 21:30:00,Extra 3 - Condicionais Encadeados (if/elif),1,0
2846,4567,486,2022,2,2023-04-24 21:30:00,Lab 3 - Estrutura Condicional Encadeada,1,5.33333
2993,3351,404,2021,2,2022-05-30 14:00:00,Lab 0 – Primeiros passos com o Python - 2020,1,10
2993,3368,404,2021,2,2022-06-01 14:00:00,Lab 1 - Variáveis e Estrutura Sequencial,1,10
2993,3387,404,2021,2,2022-06-01 16:00:00,Extras 1 - Variáveis e Estrutura Sequencial (2020),1,7.27273
2993,3438,404,2021,2,2022-06-15 14:00:00,TP 01: Variáveis e Estrutura Sequencial,2,6.66667
2993,4380,493,2022,2,2023-03-21 16:40:00,Lab 0 – Primeiros passos com o Python - 2020,1,10
2993,4409,493,2022,2,2023-03-23 17:00:00,Lab 1 - Variáveis e Estrutura Sequencial,1,10
2993,4410,493,2022,2,2023-03-23 17:00:00,Extras 1 - Variáveis e Estrutura Sequencial (2020),1,0.909091
8159,4477,485,2022,2,2023-04-10 11:30:00,Lab 2 - Estrutura Condicional Composta,1,10
2993,4451,493,2022,2,2023-04-11 16:00:00,TP 01: Variáveis e Estrutura Sequencial,2,10
2993,4504,493,2022,2,2023-04-13 16:00:00,Lab 2 - Estrutura Condicional Composta,1,10
2993,4505,493,2022,2,2023-04-13 16:00:00,Extra 2 - Estrutura Condicional Composta,1,10
2993,4537,493,2022,2,2023-04-25 16:00:00,TP 02:  Est. Condicional Simples e Composta ,2,2.5
2993,4556,493,2022,2,2023-04-27 16:00:00,Lab 3 - Estrutura Condicional Encadeada,1,4
2993,4638,493,2022,2,2023-05-11 16:00:00,Lab 4 – Repetição por Condição (while),1,0
2993,4879,524,2023,1,2023-07-24 18:00:00,Lab 0 – Primeiros passos com o Python,1,10
2993,4886,524,2023,1,2023-08-01 11:00:00,Lab 1 - Variáveis e Estrutura Sequencial,1,7.5
2993,4949,524,2023,1,2023-08-14 20:00:00,Lab 2 - Estrutura Condicional Composta,1,6.47059
2993,4921,524,2023,1,2023-08-09 18:10:00,TP1: Variáveis e Estrutura Sequencial,2,10
2993,4973,524,2023,1,2023-08-23 18:10:00,TP2: Est. Condicional Simples e Composta,2,10
3201,3103,378,2021,1,2022-02-10 18:00:00,Lab 3 – Condicionais Encadeados (if/elif),1,0
6091,3201,374,2021,1,2022-03-29 08:00:00,TP5: Vetores e Strings (P),2,0
6455,3201,374,2021,1,2022-03-29 08:00:00,TP5: Vetores e Strings (P),2,10
6520,3201,374,2021,1,2022-03-29 08:00:00,TP5: Vetores e Strings (P),2,5
6386,3201,374,2021,1,2022-03-29 08:00:00,TP5: Vetores e Strings (P),2,10
6336,3201,374,2021,1,2022-03-29 08:00:00,TP5: Vetores e Strings (P),2,0
5839,3201,374,2021,1,2022-03-29 08:00:00,TP5: Vetores e Strings (P),2,10
6354,3201,374,2021,1,2022-03-29 08:00:00,TP5: Vetores e Strings (P),2,0
6382,3201,374,2021,1,2022-03-29 08:00:00,TP5: Vetores e Strings (P),2,0
3201,3069,378,2021,1,2022-01-11 18:00:00,Lab 0 – Primeiros passos com o Python,1,0
